#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-194AE75FF3EE2664-30FD1143830A51F
#datatype	hitsConcise Results
#status	0
#Start time	2016-01-24T18:31:38	Run time	0:00:02:06
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - > 189017811	superfamily	268265	5	162	1.51818e-09	54.2201	cl19912	DNA_pol3_delta superfamily	 - 	 - 
Q#1 - > 189017811	multi-dom	224383	1	250	1.99036e-53	174.475	COG1466	HolA	C	 - 
Q#2 - > 742686725	specific	238217	5	81	1.51292e-28	96.4232	cd00367	PTS-HPr_like	 - 	cl00206
Q#2 - > 742686725	superfamily	275484	5	81	1.51292e-28	96.4232	cl00206	PTS-HPr_like superfamily	 - 	 - 
Q#4 - > 6626258	specific	238899	132	282	6.11053e-70	212.865	cd01918	HprK_C	 - 	cl22860
Q#4 - > 6626258	superfamily	277575	132	282	6.11053e-70	212.865	cl22860	PEPCK_HprK superfamily	 - 	 - 
Q#4 - > 6626258	specific	190362	3	127	6.4312e-46	150.69	pfam02603	Hpr_kinase_N	 - 	cl21627
Q#4 - > 6626258	superfamily	272047	3	127	6.4312e-46	150.69	cl21627	DRTGG superfamily	 - 	 - 
Q#4 - > 6626258	multi-dom	235459	10	306	1.52674e-149	420.73	PRK05428	PRK05428	 - 	 - 
Q#5 - > 2611182	specific	238713	2	204	1.53534e-103	295.685	cd01428	ADK	 - 	cl17190
Q#5 - > 2611182	superfamily	277502	2	204	1.53534e-103	295.685	cl17190	NK superfamily	 - 	 - 
Q#5 - > 2611182	multi-dom	234711	1	210	2.32067e-145	401.065	PRK00279	adk	 - 	 - 
Q#6 - > 2611200	specific	143388	11	155	2.1545e-44	145.043	cd05398	NT_ClassII-CCAase	 - 	cl11966
Q#6 - > 2611200	superfamily	277479	11	155	2.1545e-44	145.043	cl11966	NT_Pol-beta-like superfamily	 - 	 - 
Q#6 - > 2611200	specific	257174	186	249	1.005e-22	86.7247	pfam12627	PolyA_pol_RNAbd	 - 	cl14990
Q#6 - > 2611200	superfamily	257174	186	249	1.005e-22	86.7247	cl14990	PolyA_pol_RNAbd superfamily	 - 	 - 
Q#7 - > 2611206	specific	238121	1	190	4.07621e-60	187.927	cd00200	WD40	N	cl02567
Q#7 - > 2611206	superfamily	271593	1	190	4.07621e-60	187.927	cl02567	WD40 superfamily	N	 - 
Q#7 - > 2611206	multi-dom	225201	1	189	2.75484e-25	100.163	COG2319	WD40	NC	 - 
Q#8 - > 2611523	specific	238489	84	145	5.50325e-21	79.5851	cd00989	PDZ_metalloprotease	 - 	cl00117
Q#8 - > 2611523	superfamily	271422	84	145	5.50325e-21	79.5851	cl00117	PDZ superfamily	 - 	 - 
Q#8 - > 2611523	specific	238489	2	71	1.51393e-17	70.7255	cd00989	PDZ_metalloprotease	 - 	cl00117
Q#8 - > 2611523	superfamily	271422	2	71	1.51393e-17	70.7255	cl00117	PDZ superfamily	 - 	 - 
Q#9 - > 2611524	specific	257629	258	375	1.27214e-64	199.961	pfam13288	DXPR_C	 - 	cl16212
Q#9 - > 2611524	superfamily	257629	258	375	1.27214e-64	199.961	cl16212	DXPR_C superfamily	 - 	 - 
Q#9 - > 2611524	specific	254800	142	225	6.57936e-59	184.224	pfam08436	DXP_redisom_C	 - 	cl07165
Q#9 - > 2611524	superfamily	254800	142	225	6.57936e-59	184.224	cl07165	DXP_redisom_C superfamily	 - 	 - 
Q#9 - > 2611524	specific	251461	3	128	1.5951e-54	174.613	pfam02670	DXP_reductoisom	 - 	cl21454
Q#9 - > 2611524	superfamily	277520	3	128	1.5951e-54	174.613	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#9 - > 2611524	multi-dom	235472	1	375	0	643.285	PRK05447	PRK05447	 - 	 - 
Q#10 - > 2611528	specific	250399	1	178	3.72589e-41	137.883	pfam01148	CTP_transf_1	N	cl21502
Q#10 - > 2611528	superfamily	271922	1	178	3.72589e-41	137.883	cl21502	CTP_transf_1 superfamily	N	 - 
Q#11 - > 2611532	specific	259850	3	218	3.11044e-117	332.03	cd00475	Cis_IPPS	 - 	cl00230
Q#11 - > 2611532	superfamily	260282	3	218	3.11044e-117	332.03	cl00230	Cis_IPPS superfamily	 - 	 - 
Q#12 - > 2611533	specific	238288	1	173	3.74338e-80	234.076	cd00520	RRF	 - 	cl00240
Q#12 - > 2611533	superfamily	260292	1	173	3.74338e-80	234.076	cl00240	RRF superfamily	 - 	 - 
